C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,D,Dustin Byfuglien (12322230),Dustin Byfuglien,12322230,D/UTIL,5600,NYI@WPG 03/28/2019 08:00PM ET,WPG,3.77
,,,,,,,,,,C,Andreas Athanasiou (12321562),Andreas Athanasiou,12321562,C/UTIL,5500,DET@BUF 03/28/2019 07:00PM ET,DET,3.43
,,,,,,,,,,LW,Artemi Panarin (12321800),Artemi Panarin,12321800,W/UTIL,5500,MON@CLS 03/28/2019 07:00PM ET,CLS,3.83
,,,,,,,,,,D,Keith Yandle (12322226),Keith Yandle,12322226,D/UTIL,5500,FLA@OTT 03/28/2019 07:30PM ET,FLA,3.36
,,,,,,,,,,D,Jacob Trouba (12322228),Jacob Trouba,12322228,D/UTIL,5500,NYI@WPG 03/28/2019 08:00PM ET,WPG,3.3
,,,,,,,,,,RW,Gustav Nyquist (12321802),Gustav Nyquist,12321802,W/UTIL,5500,CHI@SJ 03/28/2019 10:30PM ET,SJ,3.16
,,,,,,,,,,LW,Nino Niederreiter (12321804),Nino Niederreiter,12321804,W/UTIL,5400,WAS@CAR 03/28/2019 07:00PM ET,CAR,2.78
,,,,,,,,,,RW,T.J. Oshie (12321806),T.J. Oshie,12321806,W/UTIL,5400,WAS@CAR 03/28/2019 07:00PM ET,WAS,3.32
,,,,,,,,,,D,Dougie Hamilton (12322232),Dougie Hamilton,12322232,D/UTIL,5400,WAS@CAR 03/28/2019 07:00PM ET,CAR,3.2
,,,,,,,,,,D,Darnell Nurse (12322234),Darnell Nurse,12322234,D/UTIL,5400,DAL@EDM 03/28/2019 09:00PM ET,EDM,3.19
,,,,,,,,,,C,Dylan Strome (12321566),Dylan Strome,12321566,C/UTIL,5400,CHI@SJ 03/28/2019 10:30PM ET,CHI,2.83
,,,,,,,,,,RW,Sam Reinhart (12321816),Sam Reinhart,12321816,W/UTIL,5300,DET@BUF 03/28/2019 07:00PM ET,BUF,3.28
,,,,,,,,,,RW,Tom Wilson (12321812),Tom Wilson,12321812,W/UTIL,5300,WAS@CAR 03/28/2019 07:00PM ET,WAS,3.22
,,,,,,,,,,C,Brock Nelson (12321564),Brock Nelson,12321564,C/UTIL,5300,NYI@WPG 03/28/2019 08:00PM ET,NYI,3.04
,,,,,,,,,,RW,Patrik Laine (12321814),Patrik Laine,12321814,W/UTIL,5300,NYI@WPG 03/28/2019 08:00PM ET,WPG,3.59
,,,,,,,,,,D,Oscar Klefbom (12322236),Oscar Klefbom,12322236,D/UTIL,5300,DAL@EDM 03/28/2019 09:00PM ET,EDM,3.26
,,,,,,,,,,D,Brent Seabrook (12322238),Brent Seabrook,12322238,D/UTIL,5300,CHI@SJ 03/28/2019 10:30PM ET,CHI,3.04
,,,,,,,,,,D,Mike Green (12322244),Mike Green,12322244,D/UTIL,5200,DET@BUF 03/28/2019 07:00PM ET,DET,3.05
,,,,,,,,,,RW,Teuvo Teravainen (12321818),Teuvo Teravainen,12321818,W/UTIL,5200,WAS@CAR 03/28/2019 07:00PM ET,CAR,3.33
,,,,,,,,,,D,Zach Werenski (12322242),Zach Werenski,12322242,D/UTIL,5200,MON@CLS 03/28/2019 07:00PM ET,CLS,2.83
,,,,,,,,,,C,Vincent Trocheck (12321568),Vincent Trocheck,12321568,C/UTIL,5200,FLA@OTT 03/28/2019 07:30PM ET,FLA,3.2
,,,,,,,,,,LW,Anders Lee (12321808),Anders Lee,12321808,W/UTIL,5200,NYI@WPG 03/28/2019 08:00PM ET,NYI,3.17
,,,,,,,,,,RW,Dustin Brown (12321810),Dustin Brown,12321810,W/UTIL,5200,LA@VAN 03/28/2019 10:00PM ET,LA,3.32
,,,,,,,,,,RW,Justin Williams (12321820),Justin Williams,12321820,W/UTIL,5100,WAS@CAR 03/28/2019 07:00PM ET,CAR,3.19
,,,,,,,,,,LW,Tomas Tatar (12321822),Tomas Tatar,12321822,W/UTIL,5100,MON@CLS 03/28/2019 07:00PM ET,MON,3.29
,,,,,,,,,,RW,Frank Vatrano (12321824),Frank Vatrano,12321824,W/UTIL,5100,FLA@OTT 03/28/2019 07:30PM ET,FLA,3.07
,,,,,,,,,,D,Aaron Ekblad (12322240),Aaron Ekblad,12322240,D/UTIL,5100,FLA@OTT 03/28/2019 07:30PM ET,FLA,2.72
,,,,,,,,,,C,Anze Kopitar (12321570),Anze Kopitar,12321570,C/UTIL,5100,LA@VAN 03/28/2019 10:00PM ET,LA,3.22
,,,,,,,,,,RW,Anthony Mantha (12321826),Anthony Mantha,12321826,W/UTIL,5000,DET@BUF 03/28/2019 07:00PM ET,DET,3.08
,,,,,,,,,,D,Rasmus Ristolainen (12322248),Rasmus Ristolainen,12322248,D/UTIL,5000,DET@BUF 03/28/2019 07:00PM ET,BUF,3.08
,,,,,,,,,,D,Justin Faulk (12322246),Justin Faulk,12322246,D/UTIL,5000,WAS@CAR 03/28/2019 07:00PM ET,CAR,2.96
,,,,,,,,,,RW,Josh Anderson (12321828),Josh Anderson,12321828,W/UTIL,5000,MON@CLS 03/28/2019 07:00PM ET,CLS,3.27
,,,,,,,,,,LW,Ryan Dzingel (12321830),Ryan Dzingel,12321830,W/UTIL,4900,MON@CLS 03/28/2019 07:00PM ET,CLS,3.12
,,,,,,,,,,C,Kevin Hayes (12321572),Kevin Hayes,12321572,C/UTIL,4900,NYI@WPG 03/28/2019 08:00PM ET,WPG,3.2
,,,,,,,,,,C,Pierre-Luc Dubois (12321574),Pierre-Luc Dubois,12321574,C/UTIL,4800,MON@CLS 03/28/2019 07:00PM ET,CLS,3.2
