Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Justin Faulk,,,D,5000,CAR,WAS,1,D2,P1,3.18,23.5,22.4,22.4,2.6,2.4,2.7,3.0,3.1,3.0,1.2,4.7,2.9,0.6,0.0,0.0
Kevin Hayes,,,C,4900,WPG,NYI,2,L2,P2,3.02,16.0,18.4,18.7,1.8,2.2,2.3,3.7,3.4,3.2,0.5,5.9,2.9,0.6,0.0,0.0
Ryan Dzingel,,,LW,4900,CLS,MON,1,L2,,2.95,15.5,16.4,17.0,1.4,1.8,2.1,2.4,3.0,3.1,1.0,5.3,2.2,0.4,0.0,0.0
Pierre-Luc Dubois,,,C,4800,CLS,MON,1,L1,P2,2.95,17.0,17.3,17.9,2.4,2.0,2.2,2.2,2.8,3.2,0.5,5.9,3.1,0.6,0.0,0.0
Andrew Shaw,,,RW,4800,MON,@CLS,1,L2,P2,2.55,15.2,16.4,15.8,2.0,2.1,2.1,4.0,3.2,3.1,0.5,5.7,2.2,0.5,0.0,0.0
Ryan Pulock,,,D,4800,NYI,@WPG,1,D2,P2,2.48,22.9,21.9,22.3,2.0,2.1,2.1,2.1,3.0,2.9,0.9,4.9,2.7,0.6,0.0,0.0
Jeff Petry,,,D,4700,MON,@CLS,1,D2,P2,2.55,22.8,22.4,23.1,2.4,1.8,2.0,3.1,2.6,3.0,1.0,5.0,2.9,0.6,0.0,0.0
Brandon Saad,,,LW,4700,CHI,@SJ,1,L3,P2,2.76,18.6,17.6,17.7,2.8,2.6,2.5,2.3,3.0,2.9,0.7,5.2,3.0,0.6,0.0,0.0
Marc-Edouard Vlasic,,,D,4700,SJ,CHI,2,D1,,3.74,19.8,20.3,21.1,1.8,1.1,1.3,3.3,2.3,2.2,0.6,3.9,2.8,0.6,0.0,0.0
Boone Jenner,,,LW,4600,CLS,MON,1,L3,,2.95,14.5,16.8,17.3,0.8,1.8,2.2,1.2,2.8,2.9,0.4,5.4,3.0,0.7,0.0,0.0
Duncan Keith,,,D,4600,CHI,@SJ,1,D1,P2,2.76,23.6,23.2,22.9,1.2,1.5,1.6,3.0,2.9,2.8,0.9,4.7,2.8,0.6,0.0,0.0
Rasmus Dahlin,,,D,4600,BUF,DET,1,D2,P1,3.27,21.8,21.7,21.2,2.8,2.5,2.2,3.1,2.8,2.6,0.8,4.5,2.7,0.6,0.0,0.0
Nikolaj Ehlers,,,LW,4500,WPG,NYI,2,L1,P2,3.02,14.9,16.1,15.9,1.6,2.6,2.5,1.8,3.2,3.0,0.0,6.0,3.5,0.8,0.0,0.0
Drew Doughty,,,D,4500,LA,@VAN,1,D1,P1,2.58,25.2,26.8,26.7,2.2,2.0,1.9,3.3,2.9,2.9,1.2,4.6,3.3,0.7,0.0,0.0
Brandon Montour,,,D,4500,BUF,DET,1,D1,P2,3.27,20.5,21.8,22.4,1.6,2.3,2.1,2.1,2.5,2.7,0.5,4.8,2.5,0.6,0.0,0.0
Jordan Staal,,,C,4500,CAR,WAS,1,L2,P2,3.18,17.0,18.3,18.4,2.8,2.5,2.5,4.0,2.4,2.7,0.6,4.8,2.5,0.6,0.0,0.0
Jonathan Drouin,,,LW,4400,MON,@CLS,1,L3,P1,2.55,12.5,16.1,17.0,0.8,2.2,2.4,1.4,2.5,2.9,0.2,5.7,2.9,0.7,0.0,0.0
Andrei Svechnikov,,,LW,4400,CAR,WAS,1,L2,P2,3.18,15.1,14.2,14.6,2.6,1.9,2.3,3.2,2.3,2.5,0.4,4.7,2.9,0.7,0.0,0.0
Lars Eller,,,C,4400,WAS,@CAR,1,L3,P2,2.82,15.7,16.1,16.5,1.6,2.1,2.1,2.0,2.5,2.4,0.3,4.5,2.3,0.5,0.0,0.0
Josh Morrissey,,,D,4300,WPG,NYI,2,,,3.02,21.3,22.3,22.4,0.8,1.6,1.6,1.2,3.1,2.9,0.7,5.1,0.0,0.0,0.0,0.0
Esa Lindell,,,D,4300,DAL,@EDM,0,D1,P2,2.77,22.7,24.1,24.4,1.6,1.5,1.6,2.5,2.7,2.7,0.8,4.6,2.4,0.6,0.0,0.0
Cody Ceci,,,D,4300,OTT,FLA,1,D2,,3.04,20.2,22.6,22.5,1.6,1.9,1.7,2.6,2.7,2.6,1.0,4.2,2.6,0.6,0.0,0.0
Chris Tierney,,,C,4300,OTT,FLA,1,L2,P2,3.04,15.0,16.7,17.1,0.8,1.2,1.5,1.8,2.1,2.4,0.5,4.3,2.1,0.5,0.0,0.0
Brendan Perlini,,,LW,4300,CHI,@SJ,1,L2,,2.76,12.6,10.6,11.7,1.6,1.7,1.7,1.0,2.0,1.9,-0.7,4.5,2.3,0.5,0.0,0.0
Sven Baertschi,,,LW,4200,VAN,LA,1,,,2.92,13.7,15.5,15.5,1.2,1.7,1.7,1.5,2.5,2.5,-0.2,5.3,0.0,0.0,0.0,0.0
Alex Biega,,,D,4200,VAN,LA,1,D2,,2.92,22.2,17.5,17.5,2.8,2.3,2.3,2.5,2.5,2.5,1.0,4.0,1.0,0.2,0.0,0.0
